class,ExtractionTurbine,Sink,BackpressureTurbine,Sink
label,extr_turbine,electrical_demand,bp_turbine,heat_demand
source,extr_turbine,electrical_balance,bp_turbine,heat_balance
target,electrical_balance,electrical_demand,electrical_balance,heat_demand
attribute,max,variable_costs,max,actual_value
,0.97,-49.94,0.99,0.1469452338
values,0.97,-42.93,0.99,0.1500444621
in Mwh,0.97,-38.45,0.99,0.1569258683
,0.97,-29.35,0.99,0.1740503842
,0.97,-27.9,0.99,0.2175136794
,0.97,-35.01,0.99,0.2993166845
,0.97,-43.03,0.99,0.3541620446
,0.97,-46.11,0.99,0.3316082816
,0.97,-44.71,0.99,0.3062301219
,0.97,-49.82,0.99,0.2851263663
,0.97,-50.37,0.99,0.2630026701
,0.97,-54.18,0.99,0.2502968704
,0.97,-50.58,0.99,0.2435902264
,0.97,-51.6,0.99,0.2437331516
,0.97,-47.62,0.99,0.246778243
,0.97,-47.74,0.99,0.2542671496
,0.97,-52.35,0.99,0.2675343843
,0.97,-63.27,0.99,0.2856671632
,0.97,-61.09,0.99,0.297276272
,0.97,-45.9,0.99,0.2837494791
,0.97,-40.06,0.99,0.2626769986
,0.97,-40.04,0.99,0.2184679538
,0.97,-45.09,0.99,0.1507227637
,0.97,-37.78,0.99,0.1441735159
,0.97,-50.34,0.99,0.1727600376
,0.97,-47.06,0.99,0.1774486003
,0.97,-43.13,0.99,0.1849768878
,0.97,-36.43,0.99,0.198377213
,0.97,-34.41,0.99,0.2334336342
,0.97,-38.89,0.99,0.3090781543
,0.97,-43.05,0.99,0.3621553123
,0.97,-50.84,0.99,0.3496276187
,0.97,-51.39,0.99,0.3293109494
,0.97,-55.88,0.99,0.3112578832
,0.97,-57.77,0.99,0.2890211734
,0.97,-61.95,0.99,0.2756799032
,0.97,-61.49,0.99,0.2672108186
,0.97,-58.7,0.99,0.2659853869
,0.97,-54.75,0.99,0.2701684451
,0.97,-52.36,0.99,0.2793290922
,0.97,-56.64,0.99,0.2895400515
,0.97,-68.98,0.99,0.3060718235
,0.97,-70.9,0.99,0.3194935864
,0.97,-66.17,0.99,0.308095897
,0.97,-56.3,0.99,0.2873532149
,0.97,-47.08,0.99,0.2461959584
,0.97,-50,0.99,0.1766938357
,0.97,-45.84,0.99,0.1696068341
,0.97,-47.06,0.99,0.1655940671
,0.97,-42.02,0.99,0.1700881514
,0.97,-41.08,0.99,0.1773041705
,0.97,-36.34,0.99,0.1901486592
,0.97,-37.03,0.99,0.2237509635
,0.97,-42.78,0.99,0.2962577996
,0.97,-44.55,0.99,0.3471333528
,0.97,-45.17,0.99,0.3351252995
,0.97,-53.87,0.99,0.315651352
,0.97,-60.35,0.99,0.2983471149
,0.97,-63.91,0.99,0.2770327689
,0.97,-63.63,0.99,0.2642448856
,0.97,-65.82,0.99,0.256127093
,0.97,-62.49,0.99,0.2549524913
,0.97,-60.75,0.99,0.2589620391
,0.97,-60.08,0.99,0.2677427087
,0.97,-65.57,0.99,0.2775301242
,0.97,-74.93,0.99,0.2933761694
,0.97,-74.92,0.99,0.3062412067
,0.97,-68.97,0.99,0.2953162858
,0.97,-60.87,0.99,0.2754339962
,0.97,-52.72,0.99,0.2359839151
,0.97,-56.11,0.99,0.1693646938
,0.97,-50.32,0.99,0.1625716563
,0.97,-44.11,0.99,0.1655940671
,0.97,-44.44,0.99,0.1700881514
,0.97,-42.47,0.99,0.1773041705
,0.97,-38.93,0.99,0.1901486592
,0.97,-36.92,0.99,0.2237509635
,0.97,-41.05,0.99,0.2962577996
,0.97,-41.79,0.99,0.3471333528
,0.97,-45.15,0.99,0.3351252995
,0.97,-52.97,0.99,0.315651352
,0.97,-62.01,0.99,0.2983471149
,0.97,-63.95,0.99,0.2770327689
,0.97,-68.01,0.99,0.2642448856
,0.97,-68.05,0.99,0.256127093
,0.97,-65.28,0.99,0.2549524913
,0.97,-62.58,0.99,0.2589620391
,0.97,-62.05,0.99,0.2677427087
,0.97,-64.44,0.99,0.2775301242
,0.97,-74.91,0.99,0.2933761694
,0.97,-74.93,0.99,0.3062412067
,0.97,-71.17,0.99,0.2953162858
,0.97,-62.09,0.99,0.2754339962
,0.97,-49.28,0.99,0.2359839151
,0.97,-48.51,0.99,0.1693646938
,0.97,-47.17,0.99,0.1625716563
,0.97,-44.02,0.99,0.1794790773
,0.97,-40.04,0.99,0.1843499891
,0.97,-41.1,0.99,0.1921710692
,0.97,-41.44,0.99,0.2060925642
,0.97,-41.03,0.99,0.2425124111
,0.97,-42.7,0.99,0.3210989225
,0.97,-35.74,0.99,0.3762403747
,0.97,-40.98,0.99,0.3632254499
,0.97,-51.87,0.99,0.3421186181
,0.97,-62.06,0.99,0.3233634261
,0.97,-66.75,0.99,0.300261879
,0.97,-64.99,0.99,0.2864017358
,0.97,-66.86,0.99,0.2776032688
,0.97,-67.25,0.99,0.2763301771
,0.97,-65.05,0.99,0.2806759242
,0.97,-63.79,0.99,0.2901928502
,0.97,-72.96,0.99,0.3008009374
,0.97,-79.8,0.99,0.3179756685
,0.97,-78.58,0.99,0.331919435
,0.97,-72.66,0.99,0.320078463
,0.97,-61.01,0.99,0.2985290497
,0.97,-54.96,0.99,0.2557710917
,0.97,-53.02,0.99,0.1835658699
,0.97,-46.22,0.99,0.1762032383
,0.97,-44.43,0.99,0.1727600376
,0.97,-38.05,0.99,0.1774486003
,0.97,-39.92,0.99,0.1849768878
,0.97,-38.09,0.99,0.198377213
,0.97,-35.91,0.99,0.2334336342
,0.97,-35.41,0.99,0.3090781543
,0.97,-14.07,0.99,0.3621553123
,0.97,-35.1,0.99,0.3496276187
,0.97,-35.08,0.99,0.3293109494
,0.97,-40.9,0.99,0.3112578832
,0.97,-44.69,0.99,0.2890211734
,0.97,-59.21,0.99,0.2756799032
,0.97,-48.21,0.99,0.2672108186
,0.97,-38.11,0.99,0.2659853869
,0.97,-35.65,0.99,0.2701684451
,0.97,-44.28,0.99,0.2793290922
,0.97,-50.66,0.99,0.2895400515
,0.97,-63.18,0.99,0.3060718235
,0.97,-65.79,0.99,0.3194935864
,0.97,-65.38,0.99,0.308095897
,0.97,-57.57,0.99,0.2873532149
,0.97,-58.56,0.99,0.2461959584
,0.97,-64.93,0.99,0.1766938357
,0.97,-53.97,0.99,0.1696068341
,0.97,-23.57,0.99,0.1469452338
,0.97,-14.05,0.99,0.1500444621
,0.97,-3.58,0.99,0.1569258683
,0.97,-3.57,0.99,0.1740503842
,0.97,-14.67,0.99,0.2175136794
,0.97,-17.83,0.99,0.2993166845
,0.97,-3.56,0.99,0.3541620446
,0.97,-18.02,0.99,0.3316082816
,0.97,-22.96,0.99,0.3062301219
,0.97,-41.94,0.99,0.2851263663
,0.97,-46.69,0.99,0.2630026701
,0.97,-52.33,0.99,0.2502968704
,0.97,-50.22,0.99,0.2435902264
,0.97,-44.17,0.99,0.2437331516
,0.97,-47.19,0.99,0.246778243
,0.97,-47.8,0.99,0.2542671496
,0.97,-50.96,0.99,0.2675343843
,0.97,-59.2,0.99,0.2856671632
,0.97,-62.16,0.99,0.297276272
,0.97,-62.17,0.99,0.2837494791
,0.97,-55.04,0.99,0.2626769986
,0.97,-45.61,0.99,0.2184679538
,0.97,-60.01,0.99,0.1507227637
,0.97,-49.65,0.99,0.1441735159
,0.97,-35.94,0.99,0.1237197599
,0.97,-26.29,0.99,0.1263291388
,0.97,-22.37,0.99,0.1321229022
,0.97,-14.04,0.99,0.1465407975
,0.97,-14.78,0.99,0.1831344883
,0.97,-17.12,0.99,0.2520080944
,0.97,-7.4,0.99,0.2981848543
,0.97,-21.08,0.99,0.2791958332
,0.97,-29.98,0.99,0.2578288263
,0.97,-44.56,0.99,0.2400606312
,0.97,-46.04,0.99,0.2214337026
,0.97,-49.65,0.99,0.210736122
,0.97,-45.11,0.99,0.2050894987
,0.97,-44.93,0.99,0.2052098338
,0.97,-41.47,0.99,0.2077736323
,0.97,-40.38,0.99,0.2140788775
,0.97,-51.75,0.99,0.2252491553
,0.97,-61.13,0.99,0.2405159524
,0.97,-55.82,0.99,0.2502901799
,0.97,-40.56,0.99,0.2389013683
,0.97,-40.58,0.99,0.2211595052
,0.97,-39.07,0.99,0.1839379346
,0.97,-48.48,0.99,0.1269002312
,0.97,-37.68,0.99,0.1213861267
,0.97,-49.22,0.99,0.1655940671
,0.97,-46.51,0.99,0.1700881514
,0.97,-41.33,0.99,0.1773041705
,0.97,-31.29,0.99,0.1901486592
,0.97,-26.5,0.99,0.2237509635
,0.97,-39.93,0.99,0.2962577996
,0.97,-50.47,0.99,0.3471333528
,0.97,-61.18,0.99,0.3351252995
,0.97,-60.96,0.99,0.315651352
,0.97,-61.06,0.99,0.2983471149
,0.97,-57.1,0.99,0.2770327689
,0.97,-60.05,0.99,0.2642448856
