class,Sink,Sink
label,heat_demand,electrical_demand
source,heat_balance,electrical_balance
target,heat_demand,electrical_demand
attribute,actual_value,variable_costs
,0.1469452338,-49.94
,0.1500444621,-42.93
,0.1569258683,-38.45
,0.1740503842,-29.35
,0.2175136794,-27.9
,0.2993166845,-35.01
,0.3541620446,-43.03
,0.3316082816,-46.11
,0.3062301219,-44.71
,0.2851263663,-49.82
,0.2630026701,-50.37
,0.2502968704,-54.18
,0.2435902264,-50.58
,0.2437331516,-51.6
,0.246778243,-47.62
,0.2542671496,-47.74
,0.2675343843,-52.35
,0.2856671632,-63.27
,0.297276272,-61.09
,0.2837494791,-45.9
,0.2626769986,-40.06
,0.2184679538,-40.04
,0.1507227637,-45.09
,0.1441735159,-37.78
,0.1727600376,-50.34
,0.1774486003,-47.06
,0.1849768878,-43.13
,0.198377213,-36.43
,0.2334336342,-34.41
,0.3090781543,-38.89
,0.3621553123,-43.05
,0.3496276187,-50.84
,0.3293109494,-51.39
,0.3112578832,-55.88
,0.2890211734,-57.77
,0.2756799032,-61.95
,0.2672108186,-61.49
,0.2659853869,-58.7
,0.2701684451,-54.75
,0.2793290922,-52.36
,0.2895400515,-56.64
,0.3060718235,-68.98
,0.3194935864,-70.9
,0.308095897,-66.17
,0.2873532149,-56.3
,0.2461959584,-47.08
,0.1766938357,-50
,0.1696068341,-45.84
,0.1655940671,-47.06
,0.1700881514,-42.02
,0.1773041705,-41.08
,0.1901486592,-36.34
,0.2237509635,-37.03
,0.2962577996,-42.78
,0.3471333528,-44.55
,0.3351252995,-45.17
,0.315651352,-53.87
,0.2983471149,-60.35
,0.2770327689,-63.91
,0.2642448856,-63.63
,0.256127093,-65.82
,0.2549524913,-62.49
,0.2589620391,-60.75
,0.2677427087,-60.08
,0.2775301242,-65.57
,0.2933761694,-74.93
,0.3062412067,-74.92
,0.2953162858,-68.97
,0.2754339962,-60.87
,0.2359839151,-52.72
,0.1693646938,-56.11
,0.1625716563,-50.32
,0.1655940671,-44.11
,0.1700881514,-44.44
,0.1773041705,-42.47
,0.1901486592,-38.93
,0.2237509635,-36.92
,0.2962577996,-41.05
,0.3471333528,-41.79
,0.3351252995,-45.15
,0.315651352,-52.97
,0.2983471149,-62.01
,0.2770327689,-63.95
,0.2642448856,-68.01
,0.256127093,-68.05
,0.2549524913,-65.28
,0.2589620391,-62.58
,0.2677427087,-62.05
,0.2775301242,-64.44
,0.2933761694,-74.91
,0.3062412067,-74.93
,0.2953162858,-71.17
,0.2754339962,-62.09
,0.2359839151,-49.28
,0.1693646938,-48.51
,0.1625716563,-47.17
,0.1794790773,-44.02
,0.1843499891,-40.04
,0.1921710692,-41.1
,0.2060925642,-41.44
,0.2425124111,-41.03
,0.3210989225,-42.7
,0.3762403747,-35.74
,0.3632254499,-40.98
,0.3421186181,-51.87
,0.3233634261,-62.06
,0.300261879,-66.75
,0.2864017358,-64.99
,0.2776032688,-66.86
,0.2763301771,-67.25
,0.2806759242,-65.05
,0.2901928502,-63.79
,0.3008009374,-72.96
,0.3179756685,-79.8
,0.331919435,-78.58
,0.320078463,-72.66
,0.2985290497,-61.01
,0.2557710917,-54.96
,0.1835658699,-53.02
,0.1762032383,-46.22
,0.1727600376,-44.43
,0.1774486003,-38.05
,0.1849768878,-39.92
,0.198377213,-38.09
,0.2334336342,-35.91
,0.3090781543,-35.41
,0.3621553123,-14.07
,0.3496276187,-35.1
,0.3293109494,-35.08
,0.3112578832,-40.9
,0.2890211734,-44.69
,0.2756799032,-59.21
,0.2672108186,-48.21
,0.2659853869,-38.11
,0.2701684451,-35.65
,0.2793290922,-44.28
,0.2895400515,-50.66
,0.3060718235,-63.18
,0.3194935864,-65.79
,0.308095897,-65.38
,0.2873532149,-57.57
,0.2461959584,-58.56
,0.1766938357,-64.93
,0.1696068341,-53.97
,0.1469452338,-23.57
,0.1500444621,-14.05
,0.1569258683,-3.58
,0.1740503842,-3.57
,0.2175136794,-14.67
,0.2993166845,-17.83
,0.3541620446,-3.56
,0.3316082816,-18.02
,0.3062301219,-22.96
,0.2851263663,-41.94
,0.2630026701,-46.69
,0.2502968704,-52.33
,0.2435902264,-50.22
,0.2437331516,-44.17
,0.246778243,-47.19
,0.2542671496,-47.8
,0.2675343843,-50.96
,0.2856671632,-59.2
,0.297276272,-62.16
,0.2837494791,-62.17
,0.2626769986,-55.04
,0.2184679538,-45.61
,0.1507227637,-60.01
,0.1441735159,-49.65
,0.1237197599,-35.94
,0.1263291388,-26.29
,0.1321229022,-22.37
,0.1465407975,-14.04
,0.1831344883,-14.78
,0.2520080944,-17.12
,0.2981848543,-7.4
