class,Sink,Sink
label,HD,ED
source,heat_balance,electrical_balance
target,HD,ED
attribute,actual_value,variable_costs
,0.3905621078,-49.94
,0.3987994702,-42.93
,0.4170893898,-38.45
,0.4626042177,-29.35
,0.5781242366,-27.9
,0.7955464236,-35.01
,0.9413185517,-43.03
,0.881373462,-46.11
,0.8139214781,-44.71
,0.7578303273,-49.82
,0.6990283015,-50.37
,0.6652578703,-54.18
,0.6474324469,-50.58
,0.6478123242,-51.6
,0.6559057974,-47.62
,0.6758103773,-47.74
,0.7110730328,-52.35
,0.759267698,-63.27
,0.7901232616,-61.09
,0.7541707328,-45.9
,0.6981627073,-40.06
,0.580660579,-40.04
,0.4006023113,-45.09
,0.3831952273,-37.78
,0.4591746373,-50.34
,0.4716362523,-47.06
,0.4916455018,-43.13
,0.5272618952,-36.43
,0.6204374913,-34.41
,0.8214911931,-38.89
,0.9625636605,-43.05
,0.9292666131,-50.84
,0.8752674395,-51.39
,0.8272846407,-55.88
,0.7681822389,-57.77
,0.7327228063,-61.95
,0.7102130355,-61.49
,0.7069559909,-58.7
,0.7180740379,-54.75
,0.7424218956,-52.36
,0.7695613522,-56.64
,0.8135007407,-68.98
,0.8491741128,-70.9
,0.8188804757,-66.17
,0.7637490132,-56.3
,0.6543581576,-47.08
,0.4696301821,-50
,0.4507938156,-45.84
,0.4401283813,-47.06
,0.452073097,-42.02
,0.4712523759,-41.08
,0.5053914252,-36.34
,0.59470216,-37.03
,0.787416289,-42.78
,0.9226371653,-44.55
,0.890721257,-45.17
,0.8389619329,-53.87
,0.7929694285,-60.35
,0.7363185546,-63.91
,0.7023299554,-63.63
,0.680753875,-65.82
,0.6776319301,-62.49
,0.6882888082,-60.75
,0.7116267331,-60.08
,0.737640463,-65.57
,0.7797572752,-74.93
,0.8139509401,-74.92
,0.7849138627,-68.97
,0.7320692162,-60.87
,0.6272158199,-52.72
,0.4501502369,-56.11
,0.4320951903,-50.32
,0.4401283813,-44.11
,0.452073097,-44.44
,0.4712523759,-42.47
,0.5053914252,-38.93
,0.59470216,-36.92
,0.787416289,-41.05
,0.9226371653,-41.79
,0.890721257,-45.15
,0.8389619329,-52.97
,0.7929694285,-62.01
,0.7363185546,-63.95
,0.7023299554,-68.01
,0.680753875,-68.05
,0.6776319301,-65.28
,0.6882888082,-62.58
,0.7116267331,-62.05
,0.737640463,-64.44
,0.7797572752,-74.91
,0.8139509401,-74.93
,0.7849138627,-71.17
,0.7320692162,-62.09
,0.6272158199,-49.28
,0.4501502369,-48.51
,0.4320951903,-47.17
,0.477033007,-44.02
,0.4899792832,-40.04
,0.5107667388,-41.1
,0.5477683366,-41.44
,0.6445677482,-41.03
,0.853440896,-42.7
,1,-35.74
,0.9654079528,-40.98
,0.9093086258,-51.87
,0.8594596642,-62.06
,0.7980586327,-66.75
,0.7612201004,-64.99
,0.7378348722,-66.86
,0.7344511533,-67.25
,0.7460016071,-65.05
,0.7712964097,-63.79
,0.7994913827,-72.96
,0.8451396763,-79.8
,0.882200469,-78.58
,0.8507286419,-72.66
,0.7934529885,-61.01
,0.6798076679,-54.96
,0.4878951921,-53.02
,0.4683262354,-46.22
,0.4591746373,-44.43
,0.4716362523,-38.05
,0.4916455018,-39.92
,0.5272618952,-38.09
,0.6204374913,-35.91
,0.8214911931,-35.41
,0.9625636605,-14.07
,0.9292666131,-35.1
,0.8752674395,-35.08
,0.8272846407,-40.9
,0.7681822389,-44.69
,0.7327228063,-59.21
,0.7102130355,-48.21
,0.7069559909,-38.11
,0.7180740379,-35.65
,0.7424218956,-44.28
,0.7695613522,-50.66
,0.8135007407,-63.18
,0.8491741128,-65.79
,0.8188804757,-65.38
,0.7637490132,-57.57
,0.6543581576,-58.56
,0.4696301821,-64.93
,0.4507938156,-53.97
,0.3905621078,-23.57
,0.3987994702,-14.05
,0.4170893898,-3.58
,0.4626042177,-3.57
,0.5781242366,-14.67
,0.7955464236,-17.83
,0.9413185517,-3.56
,0.881373462,-18.02
,0.8139214781,-22.96
,0.7578303273,-41.94
,0.6990283015,-46.69
,0.6652578703,-52.33
,0.6474324469,-50.22
,0.6478123242,-44.17
,0.6559057974,-47.19
,0.6758103773,-47.8
,0.7110730328,-50.96
,0.759267698,-59.2
,0.7901232616,-62.16
,0.7541707328,-62.17
,0.6981627073,-55.04
,0.580660579,-45.61
,0.4006023113,-60.01
,0.3831952273,-49.65
,0.3288316944,-35.94
,0.3357670981,-26.29
,0.3511661988,-22.37
,0.3894871666,-14.04
,0.4867486336,-14.78
,0.6698060903,-17.12
,0.79253816,-7.4
,0.7420677098,-21.08
,0.6852768699,-29.98
,0.6380512229,-44.56
,0.5885431694,-46.04
,0.5601103342,-49.65
,0.5451023136,-45.11
,0.5454221492,-44.93
,0.552236406,-41.47
,0.5689949615,-40.38
