class,Sink,Sink
label,HD,ED
source,heat_balance,electrical_balance
target,HD,ED
attribute,actual_value,variable_costs
2014-01-01 00:00:00+00:00,0.3905621078,-49.94
2014-01-01 01:00:00+00:00,0.3987994702,-42.93
2014-01-01 02:00:00+00:00,0.4170893898,-38.45
2014-01-01 03:00:00+00:00,0.4626042177,-29.35
2014-01-01 04:00:00+00:00,0.5781242366,-27.9
2014-01-01 05:00:00+00:00,0.7955464236,-35.01
2014-01-01 06:00:00+00:00,0.9413185517,-43.03
2014-01-01 07:00:00+00:00,0.881373462,-46.11
2014-01-01 08:00:00+00:00,0.8139214781,-44.71
2014-01-01 09:00:00+00:00,0.7578303273,-49.82
2014-01-01 10:00:00+00:00,0.6990283015,-50.37
2014-01-01 11:00:00+00:00,0.6652578703,-54.18
2014-01-01 12:00:00+00:00,0.6474324469,-50.58
2014-01-01 13:00:00+00:00,0.6478123242,-51.6
2014-01-01 14:00:00+00:00,0.6559057974,-47.62
2014-01-01 15:00:00+00:00,0.6758103773,-47.74
2014-01-01 16:00:00+00:00,0.7110730328,-52.35
2014-01-01 17:00:00+00:00,0.759267698,-63.27
2014-01-01 18:00:00+00:00,0.7901232616,-61.09
2014-01-01 19:00:00+00:00,0.7541707328,-45.9
2014-01-01 20:00:00+00:00,0.6981627073,-40.06
2014-01-01 21:00:00+00:00,0.580660579,-40.04
2014-01-01 22:00:00+00:00,0.4006023113,-45.09
2014-01-01 23:00:00+00:00,0.3831952273,-37.78
2014-01-02 00:00:00+00:00,0.4591746373,-50.34
2014-01-02 01:00:00+00:00,0.4716362523,-47.06
2014-01-02 02:00:00+00:00,0.4916455018,-43.13
2014-01-02 03:00:00+00:00,0.5272618952,-36.43
2014-01-02 04:00:00+00:00,0.6204374913,-34.41
2014-01-02 05:00:00+00:00,0.8214911931,-38.89
2014-01-02 06:00:00+00:00,0.9625636605,-43.05
2014-01-02 07:00:00+00:00,0.9292666131,-50.84
2014-01-02 08:00:00+00:00,0.8752674395,-51.39
2014-01-02 09:00:00+00:00,0.8272846407,-55.88
2014-01-02 10:00:00+00:00,0.7681822389,-57.77
2014-01-02 11:00:00+00:00,0.7327228063,-61.95
2014-01-02 12:00:00+00:00,0.7102130355,-61.49
2014-01-02 13:00:00+00:00,0.7069559909,-58.7
2014-01-02 14:00:00+00:00,0.7180740379,-54.75
2014-01-02 15:00:00+00:00,0.7424218956,-52.36
2014-01-02 16:00:00+00:00,0.7695613522,-56.64
2014-01-02 17:00:00+00:00,0.8135007407,-68.98
2014-01-02 18:00:00+00:00,0.8491741128,-70.9
2014-01-02 19:00:00+00:00,0.8188804757,-66.17
2014-01-02 20:00:00+00:00,0.7637490132,-56.3
2014-01-02 21:00:00+00:00,0.6543581576,-47.08
2014-01-02 22:00:00+00:00,0.4696301821,-50
2014-01-02 23:00:00+00:00,0.4507938156,-45.84
2014-01-03 00:00:00+00:00,0.4401283813,-47.06
2014-01-03 01:00:00+00:00,0.452073097,-42.02
2014-01-03 02:00:00+00:00,0.4712523759,-41.08
2014-01-03 03:00:00+00:00,0.5053914252,-36.34
2014-01-03 04:00:00+00:00,0.59470216,-37.03
2014-01-03 05:00:00+00:00,0.787416289,-42.78
2014-01-03 06:00:00+00:00,0.9226371653,-44.55
2014-01-03 07:00:00+00:00,0.890721257,-45.17
2014-01-03 08:00:00+00:00,0.8389619329,-53.87
2014-01-03 09:00:00+00:00,0.7929694285,-60.35
2014-01-03 10:00:00+00:00,0.7363185546,-63.91
2014-01-03 11:00:00+00:00,0.7023299554,-63.63
2014-01-03 12:00:00+00:00,0.680753875,-65.82
2014-01-03 13:00:00+00:00,0.6776319301,-62.49
2014-01-03 14:00:00+00:00,0.6882888082,-60.75
2014-01-03 15:00:00+00:00,0.7116267331,-60.08
2014-01-03 16:00:00+00:00,0.737640463,-65.57
2014-01-03 17:00:00+00:00,0.7797572752,-74.93
2014-01-03 18:00:00+00:00,0.8139509401,-74.92
2014-01-03 19:00:00+00:00,0.7849138627,-68.97
2014-01-03 20:00:00+00:00,0.7320692162,-60.87
2014-01-03 21:00:00+00:00,0.6272158199,-52.72
2014-01-03 22:00:00+00:00,0.4501502369,-56.11
2014-01-03 23:00:00+00:00,0.4320951903,-50.32
2014-01-04 00:00:00+00:00,0.4401283813,-44.11
2014-01-04 01:00:00+00:00,0.452073097,-44.44
2014-01-04 02:00:00+00:00,0.4712523759,-42.47
2014-01-04 03:00:00+00:00,0.5053914252,-38.93
2014-01-04 04:00:00+00:00,0.59470216,-36.92
2014-01-04 05:00:00+00:00,0.787416289,-41.05
2014-01-04 06:00:00+00:00,0.9226371653,-41.79
2014-01-04 07:00:00+00:00,0.890721257,-45.15
2014-01-04 08:00:00+00:00,0.8389619329,-52.97
2014-01-04 09:00:00+00:00,0.7929694285,-62.01
