class,Sink,Sink
label,HD,ED
source,heat_balance,electrical_balance
target,HD,ED
attribute,actual_value,variable_costs
2015-01-01 00:00:00,0.3905621078,-25.02
2015-01-01 01:00:00,0.3987994702,-18.29
2015-01-01 02:00:00,0.4170893898,-16.04
2015-01-01 03:00:00,0.4626042177,-14.6
2015-01-01 04:00:00,0.5781242366,-14.95
2015-01-01 05:00:00,0.7955464236,-14.5
2015-01-01 06:00:00,0.9413185517,-10.76
2015-01-01 07:00:00,0.881373462,-12.01
2015-01-01 08:00:00,0.8139214781,-12.39
2015-01-01 09:00:00,0.7578303273,-14.04
2015-01-01 10:00:00,0.6990283015,-14.68
2015-01-01 11:00:00,0.6652578703,-16.08
2015-01-01 12:00:00,0.6474324469,-16.08
2015-01-01 13:00:00,0.6478123242,-16.05
2015-01-01 14:00:00,0.6559057974,-16.04
2015-01-01 15:00:00,0.6758103773,-16.1
2015-01-01 16:00:00,0.7110730328,-23.93
2015-01-01 17:00:00,0.759267698,-26.9
2015-01-01 18:00:00,0.7901232616,-26.36
2015-01-01 19:00:00,0.7541707328,-23.98
2015-01-01 20:00:00,0.6981627073,-16.09
2015-01-01 21:00:00,0.580660579,-14.08
2015-01-01 22:00:00,0.4006023113,-12.44
2015-01-01 23:00:00,0.3831952273,-0.04
2015-01-02 00:00:00,0.4591746373,12.11
2015-01-02 01:00:00,0.4716362523,19.63
2015-01-02 02:00:00,0.4916455018,19.37
2015-01-02 03:00:00,0.5272618952,31.41
2015-01-02 04:00:00,0.6204374913,46.97
2015-01-02 05:00:00,0.8214911931,13.48
2015-01-02 06:00:00,0.9625636605,-0.08
2015-01-02 07:00:00,0.9292666131,-10.06
2015-01-02 08:00:00,0.8752674395,-14.25
2015-01-02 09:00:00,0.8272846407,-14.56
2015-01-02 10:00:00,0.7681822389,-14.64
2015-01-02 11:00:00,0.7327228063,-15.08
2015-01-02 12:00:00,0.7102130355,-15.41
2015-01-02 13:00:00,0.7069559909,-14.52
2015-01-02 14:00:00,0.7180740379,-14.7
2015-01-02 15:00:00,0.7424218956,-14.66
2015-01-02 16:00:00,0.7695613522,-16.09
2015-01-02 17:00:00,0.8135007407,-25.1
2015-01-02 18:00:00,0.8491741128,-25.06
2015-01-02 19:00:00,0.8188804757,-19.08
2015-01-02 20:00:00,0.7637490132,-14.26
2015-01-02 21:00:00,0.6543581576,-12.22
2015-01-02 22:00:00,0.4696301821,-10.4
2015-01-02 23:00:00,0.4507938156,0.33
2015-01-03 00:00:00,0.4401283813,0.08
2015-01-03 01:00:00,0.452073097,0.07
2015-01-03 02:00:00,0.4712523759,5.03
2015-01-03 03:00:00,0.5053914252,-0.01
2015-01-03 04:00:00,0.59470216,0.04
2015-01-03 05:00:00,0.787416289,-0.03
2015-01-03 06:00:00,0.9226371653,8.67
2015-01-03 07:00:00,0.890721257,-4.46
2015-01-03 08:00:00,0.8389619329,-9.9
2015-01-03 09:00:00,0.7929694285,-14.29
2015-01-03 10:00:00,0.7363185546,-16.73
2015-01-03 11:00:00,0.7023299554,-22.31
2015-01-03 12:00:00,0.680753875,-23.03
2015-01-03 13:00:00,0.6776319301,-22.4
2015-01-03 14:00:00,0.6882888082,-27.07
2015-01-03 15:00:00,0.7116267331,-29.33
2015-01-03 16:00:00,0.737640463,-33.85
2015-01-03 17:00:00,0.7797572752,-45.96
2015-01-03 18:00:00,0.8139509401,-49.82
2015-01-03 19:00:00,0.7849138627,-47.62
2015-01-03 20:00:00,0.7320692162,-35.98
2015-01-03 21:00:00,0.6272158199,-27.26
2015-01-03 22:00:00,0.4501502369,-27.7
2015-01-03 23:00:00,0.4320951903,-14.27
2015-01-04 00:00:00,0.4401283813,-9.32
2015-01-04 01:00:00,0.452073097,-0.02
2015-01-04 02:00:00,0.4712523759,0.04
2015-01-04 03:00:00,0.5053914252,-0.01
2015-01-04 04:00:00,0.59470216,0
2015-01-04 05:00:00,0.787416289,0.01
2015-01-04 06:00:00,0.9226371653,3.18
2015-01-04 07:00:00,0.890721257,0.05
2015-01-04 08:00:00,0.8389619329,-0.05
2015-01-04 09:00:00,0.7929694285,-9.62
2015-01-04 10:00:00,0.7363185546,-11.54
2015-01-04 11:00:00,0.7023299554,-14.68
2015-01-04 12:00:00,0.680753875,-14.31
2015-01-04 13:00:00,0.6776319301,-11.18
2015-01-04 14:00:00,0.6882888082,-12.01
2015-01-04 15:00:00,0.7116267331,-14.36
2015-01-04 16:00:00,0.737640463,-17.55
2015-01-04 17:00:00,0.7797572752,-28.94
2015-01-04 18:00:00,0.8139509401,-29.59
2015-01-04 19:00:00,0.7849138627,-29.42
2015-01-04 20:00:00,0.7320692162,-28.92
2015-01-04 21:00:00,0.6272158199,-28.66
2015-01-04 22:00:00,0.4501502369,-29.74
2015-01-04 23:00:00,0.4320951903,-24.9
